call_id,experiment_version,case_id,model_spec_id,provider,requested_model,condition_id,condition_family,present_evidence_ids,missing_evidence_ids,run_id,seed,status,prompt_hash,evidence_hash,audit_packet_id,started_at_utc,completed_at_utc,returned_model,model_digest,input_tokens,output_tokens,reasoning_tokens,estimated_cost_usd,parse_repair_attempted,error
T-05bf560e123710f01f33,telegram-targeted-replication-v1.0,telegram_metadata_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,T0_ASSOCIATION,targeted_replication,T0,T1,4,1620380497,ok,fe17893b2771a370aac8fd21c4f9a953402521ec649be17c60bbde48041a3b17,de60aff00f7b4a77e0e8fe9d54c4c12c3bc2d25946c20cc15f90629a18a15a9c,TEL-fe17893b2771a370,2026-08-26T07:22:08.447015+00:00,2026-08-26T07:23:01.042702+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,1039,121,0,0.0,0,
T-52072cb065d301760a09,telegram-targeted-replication-v1.0,telegram_metadata_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,T1_BOUNDARY_COMPLETE,targeted_replication,T0;T1,,1,3623714620,ok,e9a48ec49a8a5ea6eaa31a0ca8fa1f6e7882ef85901ddf057659f0c04dd68b98,f5c6e3fe4aac801b14d17577dbf6b8cc47fe825671e88ae686ba64abc7d79b8c,TEL-e9a48ec49a8a5ea6,2026-08-26T07:23:01.072055+00:00,2026-08-26T07:23:07.142507+00:00,gpt-5.6-terra,remote_provider,956,247,108,0.004876,0,
T-ee54676441e4394eb8ac,telegram-targeted-replication-v1.0,telegram_metadata_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,T0_ASSOCIATION,targeted_replication,T0,T1,1,1272355792,ok,fe17893b2771a370aac8fd21c4f9a953402521ec649be17c60bbde48041a3b17,de60aff00f7b4a77e0e8fe9d54c4c12c3bc2d25946c20cc15f90629a18a15a9c,TEL-fe17893b2771a370,2026-08-26T07:23:07.158573+00:00,2026-08-26T07:23:11.802681+00:00,gpt-5.6-terra,remote_provider,797,189,53,0.003862,0,
T-c0c3ea1f16a6485bd7ff,telegram-targeted-replication-v1.0,telegram_metadata_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,T1_BOUNDARY_COMPLETE,targeted_replication,T0;T1,,10,3256251944,ok,e9a48ec49a8a5ea6eaa31a0ca8fa1f6e7882ef85901ddf057659f0c04dd68b98,f5c6e3fe4aac801b14d17577dbf6b8cc47fe825671e88ae686ba64abc7d79b8c,TEL-e9a48ec49a8a5ea6,2026-08-26T07:23:11.820013+00:00,2026-08-26T07:24:03.930945+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,1344,141,0,0.0,0,
T-bdbcfe93578d1a1ff5c6,telegram-targeted-replication-v1.0,telegram_metadata_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,T1_BOUNDARY_COMPLETE,targeted_replication,T0;T1,,4,4098468049,ok,e9a48ec49a8a5ea6eaa31a0ca8fa1f6e7882ef85901ddf057659f0c04dd68b98,f5c6e3fe4aac801b14d17577dbf6b8cc47fe825671e88ae686ba64abc7d79b8c,TEL-e9a48ec49a8a5ea6,2026-08-26T07:24:03.947592+00:00,2026-08-26T07:24:41.555507+00:00,deepseek-v4-pro,remote_provider,948,1922,1776,0.00886248,0,
T-3b03eceddf75773237e5,telegram-targeted-replication-v1.0,telegram_metadata_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,T0_ASSOCIATION,targeted_replication,T0,T1,5,616941851,ok,fe17893b2771a370aac8fd21c4f9a953402521ec649be17c60bbde48041a3b17,de60aff00f7b4a77e0e8fe9d54c4c12c3bc2d25946c20cc15f90629a18a15a9c,TEL-fe17893b2771a370,2026-08-26T07:24:41.573565+00:00,2026-08-26T07:25:17.795937+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,1039,121,0,0.0,0,
T-8847f43520400761651c,telegram-targeted-replication-v1.0,telegram_metadata_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,T0_ASSOCIATION,targeted_replication,T0,T1,8,1624446120,ok,fe17893b2771a370aac8fd21c4f9a953402521ec649be17c60bbde48041a3b17,de60aff00f7b4a77e0e8fe9d54c4c12c3bc2d25946c20cc15f90629a18a15a9c,TEL-fe17893b2771a370,2026-08-26T07:25:17.819725+00:00,2026-08-26T07:25:52.730320+00:00,deepseek-v4-pro,remote_provider,780,1781,1636,0.00808236,0,
T-e4ba889e486f69fd6518,telegram-targeted-replication-v1.0,telegram_metadata_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,T1_BOUNDARY_COMPLETE,targeted_replication,T0;T1,,9,2481803676,ok,e9a48ec49a8a5ea6eaa31a0ca8fa1f6e7882ef85901ddf057659f0c04dd68b98,f5c6e3fe4aac801b14d17577dbf6b8cc47fe825671e88ae686ba64abc7d79b8c,TEL-e9a48ec49a8a5ea6,2026-08-26T07:25:52.756921+00:00,2026-08-26T07:26:43.415905+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,1344,141,0,0.0,0,
T-5756b286adb19f02115d,telegram-targeted-replication-v1.0,telegram_metadata_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,T1_BOUNDARY_COMPLETE,targeted_replication,T0;T1,,6,1642430759,ok,e9a48ec49a8a5ea6eaa31a0ca8fa1f6e7882ef85901ddf057659f0c04dd68b98,f5c6e3fe4aac801b14d17577dbf6b8cc47fe825671e88ae686ba64abc7d79b8c,TEL-e9a48ec49a8a5ea6,2026-08-26T07:26:43.451326+00:00,2026-08-26T07:27:35.756595+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,1344,141,0,0.0,0,
T-61c67fd80cc388e56d97,telegram-targeted-replication-v1.0,telegram_metadata_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,T0_ASSOCIATION,targeted_replication,T0,T1,3,2154998349,ok,fe17893b2771a370aac8fd21c4f9a953402521ec649be17c60bbde48041a3b17,de60aff00f7b4a77e0e8fe9d54c4c12c3bc2d25946c20cc15f90629a18a15a9c,TEL-fe17893b2771a370,2026-08-26T07:27:35.783650+00:00,2026-08-26T07:28:19.332658+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,1039,121,0,0.0,0,
