area,status,evidence,remaining_work
benchmark_ladder,pass,L0 says yes while L6 is no_or_uncertain,"Use this as the paper's benchmark finding, not as proof that PumpSwap caused welfare gains."
parallel_trends,warning,2 significant pre-event weeks; max |pre|=1.416288539858264,Do not report market-level event-study effects as clean causal estimates unless a better control design removes this risk.
few_cluster_inference,warning,4 protocol clusters; wild p=0.6875,Treat the four-protocol market panel as a diagnostic benchmark; rely on cross-chain or token-level designs for stronger inference.
identification_stress_tests,warning,event-date positive share=1.0; window positive share=1.0; leave-one-control positive share=0.75; positive placebo count=1; unit permutation p=1.0; synthetic gap change=1.4010101501174201; synthetic placebo p=0.5,"Use these stress tests to defend the bounded benchmark claim. If any stress-test warning remains, do not present the market DiD as a clean standalone causal estimate."
decoded_indexer_outcomes,pass,Dune status=stopped_chunked_dune_indexer_exports_partial; post rows=0; early rows=0; Moralis status=stopped_moralis_decoded_outcome_sample_partial; decoded swap rows=173102; 30d decoded tokens with swaps=294,"Use the Moralis decoded sample for covered-token H1 outcome measurement, but scale to the full cohort and add same-cohort early-wallet decoded outcomes before making full token-level H1/H4 causal claims."
rpc_external_validation,warning,1651 token RPC sample; complete-window 30d activity share=1.0; complete tokens=762; truncation share=0.5384615384615384; truncated-zero observed=15; status=credible_complete_rpc_post_migration_sample,Use complete RPC windows as post-migration mechanism validation. Treat truncated rows as screening until Dune/Helius/Moralis/Birdeye decoded exports recover full token-level USD-volume windows.
h1_rpc_mechanism_validation,pass,full observed 30d active lower bound=0.9909145972138098; complete active share=1.0; complete median tx proxy=826.0; temporal violations=0,"Report as H1 mechanism-level evidence only: PumpSwap operated as a post-migration liquidity venue. Decoded USD volume, active traders, market quality, and H4 early-wallet outcomes remain separate gaps."
moralis_sample_selection,warning,selection audit rows=6; max |standardized mean difference|=1.3137388887135455,"If the decoded sample is selected toward high-activity tokens, describe it as a covered-token measurement sample and do not generalize its medians to the full 1,651-token cohort."
agentic_execution,pass,minimum runs per rung=10; all scored=True,"Record the exact returned model version in the paper appendix, because API aliases can resolve to newer model names."
claim_boundary,pass,6 claim-scope rows with explicit forbidden claims,Keep these boundaries synchronized with every result paragraph and table caption.
