source_key,layer,purpose,path,available
market_panel,market/protocol-day,H1 aggregate activity,../pumpfun_pumpswap_did_mvp_full_local/data/processed/solana_dex_daily_did_panel.csv,True
red_pump_token_outcomes,token lifecycle,"creator graduation, timeout, social metadata",../pumpfun_pumpswap_did_mvp_full_local/data/processed/red_pump_token_outcomes.csv,True
red_pump_graduated_for_dune,graduated token list,post-migration Dune query input,../pumpfun_pumpswap_did_mvp_full_local/data/processed/red_pump_graduated_for_dune.csv,True
hf_pump_sentiment_sample,token risk snapshot,H1 persistence proxy and H4 concentration/risk proxy,../pumpfun_pumpswap_did_mvp_full_local/data/raw/hf_pump_sentiment_sample.jsonl,True
discord_daily_sentiment_panel,protocol-day off-chain,community extension,../pumpfun_pumpswap_did_mvp_full_local/data/processed/discord_daily_sentiment_panel.csv,True
discord_tvl_panel,protocol-day merged extension,off-chain model,../pumpfun_pumpswap_did_mvp_full_local/data/processed/discord_tvl_panel.csv,True
rwa_registry,protocol snapshot,RWA trust extension,../pumpfun_pumpswap_did_mvp_full_local/data/processed/defillama_rwa_protocol_registry.csv,True
dune_post_migration_trades,token x horizon,External validation of H1 post-migration event-time persistence,data_sources/dune_queries/pumpswap_post_migration_trades.sql,registered_not_required_for_current_claim
dune_early_buyers,token x wallet-event,External validation of H4 early allocation/sniper channel,data_sources/dune_queries/pumpswap_early_buyers.sql,registered_not_required_for_current_claim
dune_full_rendered_sql,token x horizon and token x wallet-event,Executable full-indexer SQL rendered for all graduated RED-PUMP tokens,/Users/oushilin/Desktop/SRS/Web3AI4IO/Shilin/artifacts/external_validation/dune_sql,stopped_chunked_dune_indexer_exports_partial
dune_indexer_exports,decoded token-level indexer exports,Top-conference H1/H4 decoded outcome validation,/Users/oushilin/Desktop/SRS/Web3AI4IO/Shilin/artifacts/external_validation,False
moralis_decoded_token_outcomes,decoded token x horizon swaps,"Moralis decoded H1 USD-volume, buy/sell, wallet, exchange, and pair outcomes",/Users/oushilin/Desktop/SRS/Web3AI4IO/Shilin/artifacts/external_validation/moralis_decoded_token_outcomes.csv,stopped_moralis_decoded_outcome_sample_partial
solana_rpc_post_migration_pool_windows,token x horizon,Computed external-validation sample for H1 post-migration persistence,/Users/oushilin/Desktop/SRS/Web3AI4IO/Shilin/artifacts/external_validation/solana_post_migration_pool_windows.csv,True
solana_rpc_early_wallet_concentration,token x early-wallet cohort,Computed external-validation sample for H4 early allocation concentration,/Users/oushilin/Desktop/SRS/Web3AI4IO/Shilin/artifacts/external_validation/solana_early_wallet_concentration.csv,True
solarchive_public_downloads,Solana-wide token/account/transaction public archive,No-key public-data extension for Solana token universe coverage and future local indexer validation,/Users/oushilin/Desktop/SRS/Web3AI4IO/Shilin/data_sources/free_public/solarchive,True
red_cohort_public_download,Pump.fun early-wallet cohorts,No-key public-data extension for H4 concentration/sniper mechanism validation,/Users/oushilin/Desktop/SRS/Web3AI4IO/Shilin/data_sources/free_public/red_cohort,True
hf_pump_meme_public_download,Pump.fun token metadata/text,No-key public-data extension for broader token metadata and textual heterogeneity checks,/Users/oushilin/Desktop/SRS/Web3AI4IO/Shilin/data_sources/free_public/huggingface,True
