workstream,dataset,unit,target_entities,observed_entities,row_count,entity_coverage_pct,time_start,time_end,status,source_path,source_sha256,blocker
solana,rpc_pool_windows,token_horizon,1651,1651,4953,100.0,2026-05-08T22:36:53.113000+00:00,2026-07-10T15:54:09+00:00,proxy_complete,application/artifacts/external_validation/solana_post_migration_pool_windows.csv,1d5e002fc7a006571756816a629f4c6b8fbb1b77c1c19e20d099ec0ff1dc2d78,Not decoded USD volume or active trader data.
solana,moralis_decoded_sample,token_horizon,1651,294,882,17.8074,2026-05-09T11:33:53.359000+00:00,2026-06-11T18:54:14+00:00,selected_partial,application/artifacts/external_validation/moralis_decoded_token_outcomes.csv,409e68d27035db6334bf469301d3c47b70dd7f8081ff0c03a02fdaed79aaceb7,Selected high activity sample and page limit lower bounds.
solana,dune_decoded_export,token_horizon,1651,0,0,0.0,,,missing,application/artifacts/external_validation/dune_post_migration_trades.csv,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,Dune credential and execution budget unavailable.
telegram,released_static_metadata,token,832941,1651,1651,0.1982,2026-05-08T22:33:37Z,2026-06-10T17:41:33Z,graduated_subset_only,application/benchmark_release/data/covariates.csv,6bce9d4b13350fd45d49d2f773c03347ea2f71c13c1b6372a00c554eb2bdd17f,"Only binary link presence for the 1,651 validation tokens is released."
telegram,recovered_graduated_identifiers,token,1651,1651,1651,100.0,2026-05-08T22:33:37Z,2026-06-10T17:41:33Z,metadata_complete_activity_missing,identification/data_expansion/artifacts/pump_metadata_git_history.csv,af2863dffd26fa67098b7910abcf5066a90689ec9326ecf9177a248f5280fe7c,Only 296 rows normalize to public handles; no message activity has been collected.
base,clanker_token_created_committed,token_creation_log,61080,36798,36798,60.2456,2025-08-18T03:55:49Z,2025-09-06T20:09:05Z,bounded_scan_committed,application/artifacts/external_validation/clanker_base_token_created.csv,9aab8a7ab8e5b4b6d9b7298881adaf9d84532d25d08745f7f967c84ab611278f,"The reported 61,080 row discovery universe is not committed as raw logs."
base,clanker_horizon_outcomes,token_horizon,13880,12,36,0.0865,2025-08-26T20:38:31Z,2025-08-31T20:45:39Z,bounded_sample,application/artifacts/external_validation/clanker_base_token_horizons.csv,0a9ced3ff20cf9f08018e87a08e2cdd50bc49b3f3db77ff96d3b1f5db1034ee0,Archive swap and transfer coverage is incomplete.
base,clanker_full_manifest,token,13880,13880,13880,100.0,2025-08-23T10:10:35Z,2025-10-01T03:22:27Z,manifest_complete_outcomes_missing,application/benchmark_release/data/clanker_base_full_cohort_manifest.csv,9071b459b316fa2bf21986806144de6ed1267b6dcd237dab1c41027e2eb356ed,Manifest completeness is not outcome coverage.
base,public_rpc_control_pilot,token_log_type,13880,24,48,0.1729,,,one_day_pilot,identification/data_expansion/artifacts/base_pilot_coverage.csv,8018347e01403467864d175445602c05b5a741bcb30d48be784a348b902a8c9d,Twenty four control tokens only; zero PoolManager Swap rows require interpretation.
base,public_rpc_treated_pilot,token_log_type,6940,6,12,0.0865,,,one_day_pilot,identification/data_expansion/artifacts/base_pilot_treated_coverage.csv,f4a84fa878ef9536b9298c2c95443d1ce5087a7956fbc39d26c9f555a06a9e40,One treated token only; batching must be redesigned before scale up.
