call_id,experiment_version,case_id,model_spec_id,provider,requested_model,condition_id,condition_family,canonical_rung,factorial_bits,present_evidence_ids,missing_evidence_ids,leakage_expected,run_id,seed,status,prompt_hash,evidence_hash,audit_packet_id,started_at_utc,completed_at_utc,returned_model,model_digest,input_tokens,output_tokens,reasoning_tokens,estimated_cost_usd,parse_repair_attempted,error
C-a7e68828e88549b232fb,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,F_0011,factorial,,0011,M0;M1;M2;M3;M6;M7,M4;M5,0,4,2837163937,ok,263e9c6d54c9c90b1e9539da6b4cae23bf6f332066daa4241f620a01d94592ff,80f9a47fa46f7077285a38a38d7209c3053f0384b7c3f0b0d26cbed059878df0,AUDIT-8f34365179607a4d,2026-08-25T07:43:39.756611+00:00,2026-08-25T07:45:43.277668+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,4060,131,0,0.0,0,
C-dd7be6e7ad4bacb3686e,agentic-evidence-audit-v2.0,pumpswap_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,CTRL_LEAKY_L4,legacy_leaky_positive_control,L4,,M0;M1;M2;M3;M4,M5;M6;M7,1,2,3736145504,ok,f97ebde1e6429686b36a4e3e26927467154047a34ff2566472451ed096a6e69b,db61a42048e3635bbc87a6f25cd8328c8bb3e3aa0698a40540f1518daae8590b,LEAKY-L4-db61a42048e3,2026-08-25T07:45:43.295907+00:00,2026-08-25T07:47:01.311697+00:00,deepseek-v4-pro,remote_provider,940,4339,4179,0.01842324,0,
C-318111359c1e2a9dabe5,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,CTRL_LEAKY_L0,legacy_leaky_positive_control,L0,,M0,M1;M2;M3;M4;M5;M6;M7,1,3,850802862,ok,ecfd2fb177aeae37a5fb312d748c957ff7aff297634b72891643bf043af1b0f5,c9a01a301d3bcc53bf9a81639b2056a38bd1757476eaa159087c96649f99f8f9,LEAKY-L0-c9a01a301d3b,2026-08-25T07:47:01.329605+00:00,2026-08-25T07:47:52.499225+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,941,172,0,0.0,0,
C-21e599efc02c35c8ce39,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,F_0010,factorial,,0010,M0;M1;M2;M3;M6,M4;M5;M7,0,3,588956008,ok,cd0600100543486ec9f3dada4e8a9986d622cc7917000c66e0557ba3c3a7b7b9,a9212d75c49a53df2360ca784ed055893f70fb8428476b2fce3223234cfa3a95,AUDIT-76a57b51349622ec,2026-08-25T07:47:52.515363+00:00,2026-08-25T07:47:59.234809+00:00,gpt-5.6-terra,remote_provider,1727,315,174,0.007234,0,
C-789af66301ab6cc6e895,agentic-evidence-audit-v2.0,pumpswap_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,F_0011,factorial,,0011,M0;M1;M2;M3;M6;M7,M4;M5,0,6,2043682268,ok,263e9c6d54c9c90b1e9539da6b4cae23bf6f332066daa4241f620a01d94592ff,80f9a47fa46f7077285a38a38d7209c3053f0384b7c3f0b0d26cbed059878df0,AUDIT-8f34365179607a4d,2026-08-25T07:47:59.244259+00:00,2026-08-25T07:51:17.424797+00:00,deepseek-v4-pro,remote_provider,2634,9308,9119,0.04033656,0,
C-ff7f8e69d1ee04ae09db,agentic-evidence-audit-v2.0,pumpswap_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,CTRL_EMPTY_L0,evidence_free_negative_control,L0,,,M0;M1;M2;M3;M4;M5;M6;M7,0,2,4306810338,ok,e2b95d9bcb5c3c3666edcc69361173a763f537e0bb87773d5fb27730ea911f68,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,AUDIT-59bbaf3082a51e71,2026-08-25T07:51:17.450117+00:00,2026-08-25T07:51:31.382644+00:00,deepseek-v4-pro,remote_provider,785,628,510,0.00352308,0,
C-b0655dbde5600d4627b3,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,F_0111,factorial,,0111,M0;M1;M2;M3;M5;M6;M7,M4,0,6,2979693878,ok,66c661fdb616135ab02dd61428d0b5baff2f94c24a34e4bd56c5162d7c792405,ab10f9660b88475d3f695a0c4b19db4f159e146e07ee89d8f27259d17e36c41f,AUDIT-ead1e3860d05c27b,2026-08-25T07:51:31.403493+00:00,2026-08-25T07:54:35.680453+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,5771,117,0,0.0,0,
C-caa1dfcb86b46d6b1604,agentic-evidence-audit-v2.0,pumpswap_application,qwen3_14b,Alibaba-Qwen/Ollama,qwen3:14b,CTRL_EMPTY_L4,evidence_free_negative_control,L4,,,M0;M1;M2;M3;M4;M5;M6;M7,0,1,3419866948,ok,a6d9a1402e5f6ccdf461d7569cfbaa314eeb2800f6bb265ec40543cc3d3dce6e,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,AUDIT-774de2e095336ed4,2026-08-25T07:54:35.697248+00:00,2026-08-25T07:55:14.618343+00:00,qwen3:14b,bdbd181c33f2ed1b31c972991882db3cf4d192569092138a7d29e973cd9debe8,890,115,0,0.0,0,
C-a58884112cda5ab5ca5d,agentic-evidence-audit-v2.0,pumpswap_application,deepseek_v4_pro,DeepSeek,deepseek-v4-pro,P_L2,canonical,L2,,M0;M1;M2,M3;M4;M5;M6;M7,0,7,2797448074,ok,360212de4f8c31564ee86f754a424f7d5f47f5f627f83c5706d33be8fb5b383d,6d58e2882ff27c289e87ff8efd58554cc71cb07de4ea1d8ca11e6b2b80d9a338,AUDIT-b4dbc9c4e13b675d,2026-08-25T07:55:14.636714+00:00,2026-08-25T07:55:50.666587+00:00,deepseek-v4-pro,remote_provider,1313,1798,1627,0.00885324,0,
C-d5aa85f54cf60c48b123,agentic-evidence-audit-v2.0,pumpswap_application,gpt_5_6_terra,OpenAI,gpt-5.6-terra,P_L0,canonical,L0,,M0,M1;M2;M3;M4;M5;M6;M7,0,2,3604983150,ok,a6caed7c42896c0f99a47f3cbbc548b28e9c43116ffb7c09410af499a777eb8c,7a3b50ed6198b02a0e166807e745e3f52e54ac0a8b19948d97142c39aea73c65,AUDIT-b17d123fb89219a9,2026-08-25T07:55:50.685746+00:00,2026-08-25T07:55:55.614915+00:00,gpt-5.6-terra,remote_provider,1056,142,0,0.003816,0,
