case_id,rung,model,provider,run_id,run_date_utc,temperature,prompt_hash,data_access,tools_allowed,headline_estimate,ci95_low,ci95_high,worked_decision,self_reported_confidence,mentions_control_group,mentions_pretrend,mentions_stakeholders,mentions_uncertainty,final_claim,raw_response_path,ablation_id,ablation_family,removed_scaffold,model_spec_id,execution_status,error
pumpswap_shilin_application,L0,deepseek-chat,DeepSeek,1,2026-08-05T03:16:32.423025+00:00,0.0,747d6b329ad5841e3f53ec8a155ee39efb90462fa9957123335a17863701a526,market_daily_panel only; ablation=baseline,none; API runner appended local artifact bundle,0.6687211175877295,0.5458447590488631,0.7915974761265958,yes,0.25,1,0,1,1,"The PumpSwap regime was associated with a statistically significant increase in Pump ecosystem daily volume (log-scale) of 0.669 (95% CI 0.546 to 0.792) in a before-after comparison. However, this is an L0 operational dashboard estimand with no control group or stakeholder outcome metrics, so the causal and business impact remain pending.",artifacts/agent_runs/raw_ablation/DeepSeek_deepseek-chat_baseline_L0_run001.json,baseline,baseline,nan,DeepSeek_deepseek-chat,ok,nan
pumpswap_shilin_application,L0,deepseek-chat,DeepSeek,1,2026-08-05T03:16:45.712507+00:00,0.0,2c7783d33ce71751183fd218c9cfec077110d655f7d4364e0108e27a6a67e457,market_daily_panel only; ablation=omit_pretrend_diagnostics,none; API runner appended local artifact bundle,0.6687211175877295,0.5458447590488631,0.7915974761265958,yes,0.25,1,0,1,1,"Pending: The L0 before-after estimate shows a positive change in log(1 + Pump ecosystem daily volume USD) of 0.669 (95% CI 0.546 to 0.792), but this is a descriptive before-after comparison without a control group or stakeholder outcome metrics. The DiD cross-check is not significant (p=0.067 naive, p=0.135 with FE), so causal or stakeholder-level conclusions are not identified.",artifacts/agent_runs/raw_ablation/DeepSeek_deepseek-chat_omit_pretrend_diagnostics_L0_run001.json,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,DeepSeek_deepseek-chat,ok,nan
pumpswap_shilin_application,L0,deepseek-chat,DeepSeek,1,2026-08-05T03:16:49.734702+00:00,0.0,d810ade3483c2ac58427d4dc38182f9d5189951a0f5d2aec07fc8e2767f3494c,market_daily_panel only; ablation=omit_uncertainty_inference,none; API runner appended local artifact bundle,0.6687211175877295,0.5458447590488631,0.7915974761265958,yes,0.0,1,0,0,1,"The Pump.fun to PumpSwap migration on 2025-03-20 was associated with a statistically significant increase in log(1 + Pump ecosystem daily volume USD) of 0.669 (95% CI: 0.546 to 0.792), based on the L0 operational dashboard estimand without a control group.",artifacts/agent_runs/raw_ablation/DeepSeek_deepseek-chat_omit_uncertainty_inference_L0_run001.json,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,DeepSeek_deepseek-chat,ok,nan
pumpswap_shilin_application,L0,deepseek-chat,DeepSeek,1,2026-08-05T03:16:52.669156+00:00,0.0,11d997736f7d0289894f362710e323e94f3a23031b223d083a7f5f5255453383,market_daily_panel only; ablation=omit_stakeholder_battery,none; API runner appended local artifact bundle,0.4116991342312618,-0.0295422293902083,0.852940497852732,no_or_uncertain,0.0,1,0,0,1,"Before-after comparison shows a positive estimate of 0.41 (95% CI -0.03 to 0.85), but the confidence interval includes zero, so we cannot conclude a statistically significant change. This is a before-after comparison without a control group; no causal claim is made.",artifacts/agent_runs/raw_ablation/DeepSeek_deepseek-chat_omit_stakeholder_battery_L0_run001.json,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,DeepSeek_deepseek-chat,ok,nan
pumpswap_shilin_application,L0,deepseek-chat,DeepSeek,1,2026-08-05T03:16:55.670748+00:00,0.0,7f91a700b3bfc7679fa87c9e78f41866ed769e0e587c130858e1edce81fe48ef,market_daily_panel only; ablation=omit_data_gap_ledger,none; API runner appended local artifact bundle,0.6687211175877295,0.5458447590488631,0.7915974761265958,yes,0.7,1,0,0,1,"The PumpSwap migration was associated with a statistically significant increase in Pump ecosystem daily volume (log-scale estimate 0.669, 95% CI 0.546 to 0.792), suggesting the regime worked in terms of volume. However, this is a before-after comparison without a control group, so causal attribution is limited.",artifacts/agent_runs/raw_ablation/DeepSeek_deepseek-chat_omit_data_gap_ledger_L0_run001.json,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,DeepSeek_deepseek-chat,ok,nan
pumpswap_shilin_application,L1,deepseek-chat,DeepSeek,1,2026-08-05T03:16:59.050016+00:00,0.0,df741939b962df6519f136e95b3fe7ed47d2db76203631131f3d526a80cabe6f,market_daily_panel with control units; ablation=baseline,none; API runner appended local artifact bundle,0.4116991342312515,-0.0288085913765485,0.8522068598390515,no_or_uncertain,0.25,1,0,1,1,"The naive DiD estimate for log daily volume is 0.41 (95% CI -0.03 to 0.85), p=0.067, which is not statistically significant at the 5% level. The confidence interval includes zero, so we cannot conclude that the PumpSwap migration increased volume. The estimate is based on a naive DiD with Solana DEX controls but no unit/date fixed effects, and the outcome is operational volume, not a stakeholder outcome. Therefore, the evidence is insufficient to claim the PumpSwap regime worked.",artifacts/agent_runs/raw_ablation/DeepSeek_deepseek-chat_baseline_L1_run001.json,baseline,baseline,nan,DeepSeek_deepseek-chat,ok,nan
pumpswap_shilin_application,L1,deepseek-chat,DeepSeek,1,2026-08-05T03:17:02.559455+00:00,0.0,e9810c345e8d649502c9ff6282c0c3d775fa921699bcf9a5a7fe649c7c46e440,market_daily_panel with control units; ablation=omit_pretrend_diagnostics,none; API runner appended local artifact bundle,0.4116991342312515,-0.0288085913765485,0.8522068598390515,no_or_uncertain,0.5,1,0,1,1,"The naive DiD estimate for log daily volume is 0.41 (95% CI -0.03 to 0.85), p=0.067, which is not statistically significant at the 5% level. The confidence interval includes zero, so we cannot conclude that the PumpSwap migration increased daily volume. The outcome is a market-level volume metric, not a stakeholder outcome; stakeholder-level effects are pending.",artifacts/agent_runs/raw_ablation/DeepSeek_deepseek-chat_omit_pretrend_diagnostics_L1_run001.json,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,DeepSeek_deepseek-chat,ok,nan
pumpswap_shilin_application,L1,deepseek-chat,DeepSeek,1,2026-08-05T03:17:06.453816+00:00,0.0,0c34c284cb98c83531f74ed2367e97c81ab0085012a1d47ab2f86f3e24559820,market_daily_panel with control units; ablation=omit_uncertainty_inference,none; API runner appended local artifact bundle,0.4116991342312515,-0.0288085913765485,0.8522068598390515,no_or_uncertain,0.066978431567946,1,0,0,1,"The naive DiD estimate is 0.41 with a 95% CI overlapping zero, so we cannot confidently conclude the migration increased volume.",artifacts/agent_runs/raw_ablation/DeepSeek_deepseek-chat_omit_uncertainty_inference_L1_run001.json,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,DeepSeek_deepseek-chat,ok,nan
pumpswap_shilin_application,L1,deepseek-chat,DeepSeek,1,2026-08-05T03:17:10.033570+00:00,0.0,f50140d827f61090843714214598ab58a4db54c15c4cdf09c8903b98e1f07c9c,market_daily_panel with control units; ablation=omit_stakeholder_battery,none; API runner appended local artifact bundle,0.4116991342312515,-0.0288085913765485,0.8522068598390515,no_or_uncertain,0.0,1,0,0,1,"The naive DiD estimate for the effect of the Pump.fun to PumpSwap migration on log(1 + daily volume USD) is 0.4117 (95% CI: -0.0288, 0.8522), with a p-value of 0.067. The confidence interval includes zero, and the effect is not statistically significant at conventional levels. Therefore, the migration's effect is uncertain and cannot be confidently declared a success based on this analysis.",artifacts/agent_runs/raw_ablation/DeepSeek_deepseek-chat_omit_stakeholder_battery_L1_run001.json,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,DeepSeek_deepseek-chat,ok,nan
pumpswap_shilin_application,L1,deepseek-chat,DeepSeek,1,2026-08-05T03:17:12.815151+00:00,0.0,dc31dea9bd450b54c2f622754adc324a0c424865d075486329705c5e76021cd1,market_daily_panel with control units; ablation=omit_data_gap_ledger,none; API runner appended local artifact bundle,0.4116991342312515,-0.0288085913765485,0.8522068598390515,no_or_uncertain,0.5,1,0,0,1,"The naive DiD estimate for log daily volume is positive but not statistically significant at the 5% level (95% CI includes zero), so the PumpSwap regime's effect on volume is uncertain.",artifacts/agent_runs/raw_ablation/DeepSeek_deepseek-chat_omit_data_gap_ledger_L1_run001.json,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,DeepSeek_deepseek-chat,ok,nan
pumpswap_shilin_application,L2,deepseek-chat,DeepSeek,1,2026-08-05T03:17:15.764781+00:00,0.0,05ff00224fb133f8bc69b95a0c8212d3c9de1ee3a3f74afe980eef785e50bdbf,market_daily_panel; ablation=baseline,none; API runner appended local artifact bundle,0.4116991342312808,-0.1280184758660943,0.951416744328656,no_or_uncertain,0.5,1,0,1,1,"The PumpSwap migration did not produce a statistically significant change in aggregate daily volume at the L2 rung (estimate 0.41, 95% CI [-0.13, 0.95], p=0.13). The outcome is an aggregate volume metric, not a stakeholder outcome, so the decision is pending.",artifacts/agent_runs/raw_ablation/DeepSeek_deepseek-chat_baseline_L2_run001.json,baseline,baseline,nan,DeepSeek_deepseek-chat,ok,nan
