dimension,stakeholder,metric,unit,value,value_label,status,loss_bearer,interpretation
Inclusion,Token creators,Graduation rate,token,0.001982133188305054,0.198%,computed,Creators whose tokens never reach secondary liquidity,RED-PUMP confirms extreme entry thickness with a very thin graduation funnel.
Efficiency,Token creators,Median time-to-graduation,minutes,1.0,1.0 minutes,computed,Creators and traders facing migration friction,"Mechanism-level H1 lifecycle evidence: fast graduation is observed in RED-PUMP, while causal market claims are disciplined by the ladder."
Security,Retail traders,Timeout incidence,timeouts per 1000 launches,998.017866811695,998.0 per 1000,computed,Retail traders holding non-graduating tokens,Terminal-outcome security metric available without extra Dune budget.
Inclusion / attention,Community and creators,Telegram metadata effect on graduation,probability points,0.0122683178415698,"1.227 pp; CI [0.010642, 0.013895]",computed,Creators without off-chain attention signals,"Social metadata is a strong heterogeneity channel, but not itself a PumpSwap causal effect."
UX / behavioral,Retail traders,Token market-activity persistence proxy,token latest snapshot,0.057193396226415096,5.7% active; median 24h volume $388,computed_proxy,Retail traders in tokens with dry liquidity or dead volume,Self-contained H1 token-level proxy from latest Pump.fun risk snapshots; Dune 1/7/30d windows are registered as external validation.
Fairness,Retail traders,Holder concentration snapshot,token latest snapshot,100.0,p90 top-10 holder share 100.0%; high-conc rate 60.1%,computed_proxy,Late retail entrants exposed to concentrated early supply,Audits H4 at the holder-snapshot level. Early-buyer/sniper exports are the event-time validation layer.
Security / fairness,Retail traders,Risk premium of high-concentration tokens,probability points,0.5237034458753915,52.4 pp higher high/critical risk,computed_proxy,Retail traders facing whale-dominated or concentrated supply,H4 proxy association: concentrated holder structure is associated with substantially higher source-coded risk labels.
Mechanism validation,Researchers and reviewers,Solana RPC external-validation sample,token sample,1651.0,1651 tokens; complete 30d 46%; complete-active 100%; median complete 30d pool-tx 826.0; truncated 54%; truncated-zero observed 15,computed_external_validation_sample,Reviewers evaluating whether proxy claims survive event-time validation,Pump.fun/Solana RPC validates post-migration pool activity on complete windows; truncated rows are retained as screening evidence and are not decoded Dune USD volume.
Mechanism validation,Researchers and reviewers,Moralis decoded token outcomes,decoded swap sample,57743.0,"294 tokens with 30d decoded swaps; 57,743 unique swaps; median 30d volume $15,967; median 30d trades 198",computed_external_validation_sample,"Reviewers needing wallet-level, USD-denominated token outcomes rather than signature proxies","Moralis adds decoded buy/sell swaps with USD value, wallet, exchange, and pair labels for the covered graduated-token sample; it strengthens H1 outcome measurement but remains a sample, not a full welfare causal estimate."
Mechanism validation,Researchers and reviewers,Dune full-indexer export path,graduated token,1651.0,Dune attempted; stopped by account datapoint limit,registered_external_validation,Reviewers needing decoded USD volume and wallet-level concentration rather than public-RPC proxies,"Dune execution was attempted, but the account-level datapoint limit stopped further API requests before a usable post-migration export was downloaded."
Fairness / early access,Retail traders,RED-COHORT persistent sniper cohorts,cohort catalogue,1012.0,1012 cohorts; 5411 strict touched mints; median first rank 3.55,computed_extension,Retail traders competing against persistent early-wallet cohorts,"No-key RED-COHORT download directly strengthens H4 mechanism evidence. Its current mint overlap with RED-PUMP outcomes is 0, so it is treated as external mechanism validation rather than a joined causal outcome sample."
Community,Discord communities,Discord volume coefficient in TVL extension,log points,0.0386248843244166,0.039,computed_extension,Communities whose off-chain attention is invisible in market-only evaluations,"Extension module: demonstrates off-chain community channel, not a Pump.fun causal estimate."
Trust / RWA,Asset-backed token communities,RWA category coefficient in TVL snapshot,log points,3.7760199483602057,3.776,computed_extension,Users relying on off-chain asset credibility,Extension module: positions memecoin launchpads against asset-backed tokenization.
