provider,model,rung,ablation_id,ablation_family,removed_scaffold,runs,ok_runs,error_rate,agent_mean_decision,sign_stability,run_to_run_dispersion,method_omission_rate,mean_confidence,status,claim_boundary
DeepSeek,deepseek-chat,L0,baseline,baseline,nan,2,2,0.0,yes,1.0,0.0,0.25,0.25,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L0,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,2,2,0.0,yes,1.0,0.0,0.5,0.7,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L0,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,2,2,0.0,yes,1.0,0.0,0.25,0.25,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L0,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,2,2,0.0,no_or_uncertain,1.0,0.0,0.625,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L0,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,2,2,0.0,yes,1.0,0.0,0.5,0.45,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L1,baseline,baseline,nan,2,2,0.0,no_or_uncertain,1.0,0.0,0.25,0.25,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L1,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,2,2,0.0,no_or_uncertain,1.0,0.0,0.375,0.5,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L1,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,2,2,0.0,no_or_uncertain,1.0,0.0,0.25,0.5,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L1,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,2,2,0.0,no_or_uncertain,1.0,0.0,0.5,0.0,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
DeepSeek,deepseek-chat,L1,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,2,2,0.0,no_or_uncertain,1.0,0.0,0.5,0.066978431567946,scored,"Ablation output evaluates prompt-scaffold sensitivity, not causal treatment effects."
