paper_object,object_type,claim,input,script,output
tab:data-scope,table,Four-chain canonical unit counts and UTC windows,reproduction/scope.json; reproduction/archived/release/*_core.json,reproduction/generate_tables.py,paper/tabs/tab_data_scope.tex
tab:claim-evidence,table,Claim-evidence-stakeholder statuses and reported estimates,reproduction/archived/application/deterministic_ladder.csv; telegram_mirror_design_summary.json; h1_rpc_mechanism_summary.json; identification/h0_summary.json; identification/h3_incidence.json,reproduction/generate_tables.py,paper/tabs/tab_claim_evidence.tex
tab:related-work,conceptual_table,Capability matrix over representative datasets,notes/related_work_evidence.md; reproduction/source_ledger.md,none (literature table with source ledger),paper/tabs/tab_related_work.tex
tab:ladder,conceptual_table,L0-L7 evidence contract definition,reproduction/source_ledger.md,none (definitional table with source ledger),paper/tabs/tab_ladder.tex
fig:evidence-contract-overview,conceptual_figure,"Evidence infrastructure, evaluation pillars, and bounded stakeholder interpretation",reproduction/scope.json; reproduction/archived/release/*_core.json; application/deterministic_ladder.csv; h1_rpc_mechanism_summary.json; telegram_mirror_design_summary.json,reproduction/generate_figures.py,paper/figs/teaser_figure.pdf; paper/figs/teaser_figure.svg
fig:data-layer-coverage,figure,Chain-specific coverage and event-design status,reproduction/scope.json; reproduction/archived/release/events_core.json,reproduction/generate_figures.py,paper/figs/fig_data_layer_coverage_map.pdf
fig:pumpswap-event-study,figure,PumpSwap event-study coefficients and pretrend flags,reproduction/archived/application/event_study_coefficients.csv,reproduction/generate_figures.py,paper/figs/fig_event_study_application.pdf
fig:pumpswap-decision-path,figure,Ladder path from L0 dashboard estimate to L6 few-cluster inference,reproduction/archived/application/deterministic_ladder.csv,reproduction/generate_figures.py,paper/figs/fig_ladder_decision_flip_application.pdf
fig:stress-test-atlas,figure,S1-S5 known-truth calibration map,reproduction/archived/calibration/s1_results_summary.csv through s5_results_summary.csv,reproduction/generate_figures.py,paper/figs/fig_stress_test_atlas.pdf
fig:application-stakeholder,figure,Stakeholder metric battery rates,reproduction/archived/application/result1_stakeholder_metric_battery.csv,reproduction/generate_figures.py,paper/figs/fig_metric_battery_status_application.pdf
fig:application-frequency,figure,Daily versus weekly TWFE aggregation shift,reproduction/archived/application/result1_frequency_sensitivity.csv,reproduction/generate_figures.py,paper/figs/fig_frequency_sensitivity_application.pdf
fig:appendix-mechanism-coverage,figure,Observed 30-day transaction-proxy activity and complete-window activity,reproduction/archived/application/h1_rpc_mechanism_summary.json,reproduction/generate_figures.py,paper/figs/fig_h1_mechanism_audit_application.pdf
fig:appendix-agentic-tradeoff,figure,Calibration gap and method-omission rate across L0 to L7,reproduction/archived/application/agentic_arm_scores.csv,reproduction/generate_figures.py,paper/figs/fig_agentic_scaffold_tradeoff_application.pdf
main-text:pumpswap-twfe,number,"TWFE 0.412, CI [-0.128, 0.951], exact p = 0.6875",reproduction/archived/application/deterministic_ladder.csv; wild_cluster_bootstrap.json,application/src/trustworthy_launchpads/deterministic_ladder.py,paper/neurips_2026.tex
intro:external-protocol-revenue,number_external,Pump.fun surpassed USD 1 billion cumulative protocol revenue by early 2026,paper/references.bib#defillama,none (externally cited fact),paper/neurips_2026.tex
appendix:pumpswap-design,number,"March 20, 2025 event; plus or minus 90-day window; four protocols and four clusters",reproduction/archived/application/deterministic_ladder.csv; wild_cluster_bootstrap.json; event_study_coefficients.csv,application/src/trustworthy_launchpads/deterministic_ladder.py,paper/neurips_2026.tex
main-text:telegram-att,number,"Matched Telegram ATT 0.945 pp, CI [0.732, 1.163], E-value 5.02",reproduction/archived/application/telegram_mirror_design_summary.json,application/scripts/run_telegram_mirror_design.py,paper/neurips_2026.tex
main-text:fee-incidence,number,"10,732 lamports; diagnostic -0.966 [-1.252, -0.680]; 7-day contrast 0.182 [-0.174, 0.538]",reproduction/archived/identification/h3_incidence.json; h0_summary.json,identification/src/web3io_identification/analyze_h0.py; analyze_h3.py,paper/neurips_2026.tex
main-text:pumpswap-mechanism,number,"1,636 of 1,651 observed active tokens and 762 complete active windows",reproduction/archived/application/h1_rpc_mechanism_summary.json,application/scripts/run_solana_external_validation.py,paper/neurips_2026.tex
main-text:telegram-design,number,"1.485 versus 0.166 percent; 20,227 treated; 586,581 controls; 500 bootstrap replications; six screened shocks",reproduction/archived/application/telegram_mirror_design_summary.json; telegram_exposure_design_summary.json,application/scripts/run_telegram_mirror_design.py; run_telegram_exposure_design.py,paper/neurips_2026.tex
main-text:fee-design,number,May 12 zero transfer; May 13 activation at 11:27:06 UTC; six treated and six comparison Base launches,reproduction/archived/identification/h3_incidence.json; application/clanker_base_event_validation_summary.json,identification/src/web3io_identification/analyze_h3.py; application/scripts/run_clanker_base_validation.py,paper/neurips_2026.tex
main-text:s1-calibration,number,Eight cohorts; TWFE RMSE 0.005 versus group-time ATT RMSE 0.018,reproduction/archived/calibration/s1_results_summary.csv,identification/experiments/s1_staggered/run_mc.py,paper/neurips_2026.tex
main-text:s2-calibration,number,Five-day timing gap; 81 percent recovery; pre-event gate fires in 32 to 50 percent,reproduction/archived/calibration/s2_results_summary.csv,identification/experiments/s2_timing/src/s2_timing/run_mc.py,paper/neurips_2026.tex
main-text:s3-calibration,number,Four clusters; rejection rates 6.46 and 2.59 percent; exact minimum p values 0.125 and 0.25,reproduction/archived/calibration/s3_results_summary.csv,identification/experiments/s3_few_clusters/src/run_experiment.py,paper/neurips_2026.tex
main-text:s4-calibration,number,TWFE bias 0.465 and 0.707; group-time bias 0.016 and 0.026,reproduction/archived/calibration/s4_results_summary.csv,identification/experiments/s4_endogenous/src/s4_endogenous/run_mc.py,paper/neurips_2026.tex
main-text:s5-calibration,number,Naive weekly recovery 43 to 44 percent transient and 47 to 48 percent persistent,reproduction/archived/calibration/s5_results_summary.csv,identification/experiments/s5_aggregation/src/s5agg/runner.py,paper/neurips_2026.tex
main-text:agent-score,number,Eight rungs; ten runs per rung; absolute calibration gap 0.75 to 0.25,reproduction/archived/application/agentic_arm_scores.csv; agent_runs.csv; raw_responses/,application/scripts/run_agentic_deepseek.py,paper/neurips_2026.tex
appendix:data-counts,number,"All chain counts, lifecycle counts, Solana pool-window rows, decoded swaps, and Base initial-liquidity positions",reproduction/archived/release/solana_core.json; base_core.json; bnb_core.json; tron_core.json,data_pipeline/scripts/build_solana_core.py; build_crosschain_core.py,paper/neurips_2026.tex
appendix:event-layer,number,"Four event candidates and six evidence records with one accepted, one conditional, and two rejected",reproduction/archived/release/events_core.json; event_registry.json; event_evidence.json,data_pipeline/scripts/build_events.py,paper/neurips_2026.tex
appendix:fee-panel,number,"156 platform-day rows, 21-day windows, seven Newey-West lags, and eight placebo dates",reproduction/archived/identification/h0_summary.json,identification/src/web3io_identification/analyze_h0.py,paper/neurips_2026.tex
appendix:base-extension,number,"Block 34,725,785; August 26, 2025; six treated and six controls; three horizons; 36 rows",reproduction/archived/application/clanker_base_event_validation_summary.json,application/scripts/run_clanker_base_validation.py,paper/neurips_2026.tex
appendix:simulation-designs,number,"S1 through S5 cohort counts, timing gaps, synthetic effects, replication counts, cluster counts, selection arms, and seven-day targets",reproduction/archived/calibration/s1_results_summary.csv through s5_results_summary.csv; identification/experiments/*/design_lock.yaml,identification/experiments/s1_staggered through s5_aggregation,paper/neurips_2026.tex
app:agent,evaluation,"Bounded DeepSeek request alias deepseek-chat, returned model deepseek-v4-flash, 10 runs per rung, temperature 0; exact runtime payload not archived",reproduction/archived/application/agent_runs.csv; agentic_arm_scores.csv; raw_responses/; agent_provenance.json; prompts/,application/scripts/run_agentic_deepseek.py,reproduction/archived/application/
