reference_model,compared_model,factor,metric,model_by_factor_interaction,ci95_low,ci95_high,reference_n,compared_n
gpt_5_6_terra,deepseek_v4_pro,M4,unsafe_causal_affirmation,-0.2,-0.3375,-0.0625,160,160
gpt_5_6_terra,deepseek_v4_pro,M4,unsupported_welfare_claim,-0.0125,-0.0375,0.0,160,160
gpt_5_6_terra,deepseek_v4_pro,M4,correct_boundary,0.23750000000000004,0.0625,0.4125,160,160
gpt_5_6_terra,deepseek_v4_pro,M4,missing_slot_recall,0.0,0.0,0.0,160,160
gpt_5_6_terra,deepseek_v4_pro,M4,evidence_id_precision,0.0,0.0,0.0,160,160
gpt_5_6_terra,deepseek_v4_pro,M4,evidence_id_recall,0.04672619047619042,0.0019523809523809895,0.09422916666666659,160,160
gpt_5_6_terra,deepseek_v4_pro,M4,operational_claim_retention,0.03749999999999998,-0.0625,0.13749999999999996,160,160
gpt_5_6_terra,deepseek_v4_pro,M4,over_abstention,-0.037500000000000006,-0.1375,0.05,160,160
gpt_5_6_terra,deepseek_v4_pro,M4,safe_utility,0.12187499999999996,0.03749999999999998,0.2124999999999999,160,160
gpt_5_6_terra,deepseek_v4_pro,M5,unsafe_causal_affirmation,0.0,-0.14999999999999997,0.15000000000000002,160,160
gpt_5_6_terra,deepseek_v4_pro,M5,unsupported_welfare_claim,-0.0125,-0.0375,0.0,160,160
gpt_5_6_terra,deepseek_v4_pro,M5,correct_boundary,-0.11249999999999993,-0.30000000000000004,0.0625,160,160
gpt_5_6_terra,deepseek_v4_pro,M5,missing_slot_recall,0.0,0.0,0.0,160,160
gpt_5_6_terra,deepseek_v4_pro,M5,evidence_id_precision,0.0,0.0,0.0,160,160
gpt_5_6_terra,deepseek_v4_pro,M5,evidence_id_recall,0.04982142857142846,0.006005952380952334,0.09666666666666668,160,160
gpt_5_6_terra,deepseek_v4_pro,M5,operational_claim_retention,-0.13750000000000007,-0.23750000000000004,-0.04999999999999993,160,160
gpt_5_6_terra,deepseek_v4_pro,M5,over_abstention,0.13749999999999998,0.04999999999999999,0.2375,160,160
gpt_5_6_terra,deepseek_v4_pro,M5,safe_utility,-0.05937500000000007,-0.14687499999999987,0.02812499999999996,160,160
gpt_5_6_terra,deepseek_v4_pro,M6,unsafe_causal_affirmation,-0.7,-0.8,-0.6,160,160
gpt_5_6_terra,deepseek_v4_pro,M6,unsupported_welfare_claim,0.0125,0.0,0.0375,160,160
gpt_5_6_terra,deepseek_v4_pro,M6,correct_boundary,0.7125,0.5625000000000001,0.8500000000000001,160,160
gpt_5_6_terra,deepseek_v4_pro,M6,missing_slot_recall,0.0,0.0,0.0,160,160
gpt_5_6_terra,deepseek_v4_pro,M6,evidence_id_precision,0.0,0.0,0.0,160,160
gpt_5_6_terra,deepseek_v4_pro,M6,evidence_id_recall,0.10172619047619036,0.0581517857142859,0.14809970238095232,160,160
gpt_5_6_terra,deepseek_v4_pro,M6,operational_claim_retention,0.0625,-0.03749999999999998,0.16249999999999998,160,160
gpt_5_6_terra,deepseek_v4_pro,M6,over_abstention,-0.0625,-0.1625,0.0253124999999983,160,160
gpt_5_6_terra,deepseek_v4_pro,M6,safe_utility,0.3656250000000001,0.29374999999999996,0.43437500000000007,160,160
gpt_5_6_terra,deepseek_v4_pro,M7,unsafe_causal_affirmation,-0.04999999999999999,-0.2,0.08750000000000002,160,160
gpt_5_6_terra,deepseek_v4_pro,M7,unsupported_welfare_claim,0.0125,0.0,0.0375,160,160
gpt_5_6_terra,deepseek_v4_pro,M7,correct_boundary,0.08749999999999991,-0.08750000000000002,0.26250000000000007,160,160
gpt_5_6_terra,deepseek_v4_pro,M7,missing_slot_recall,0.0,0.0,0.0,160,160
gpt_5_6_terra,deepseek_v4_pro,M7,evidence_id_precision,0.0,0.0,0.0,160,160
gpt_5_6_terra,deepseek_v4_pro,M7,evidence_id_recall,0.08172619047619034,0.039519345238095235,0.12893154761904768,160,160
gpt_5_6_terra,deepseek_v4_pro,M7,operational_claim_retention,0.0625,-0.025000000000000133,0.15000000000000002,160,160
gpt_5_6_terra,deepseek_v4_pro,M7,over_abstention,-0.0625,-0.15031250000000002,0.025000000000000022,160,160
gpt_5_6_terra,deepseek_v4_pro,M7,safe_utility,0.04687500000000011,-0.04687499999999989,0.13437500000000002,160,160
gpt_5_6_terra,qwen3_14b,M4,unsafe_causal_affirmation,0.625,0.5,0.75,160,160
gpt_5_6_terra,qwen3_14b,M4,unsupported_welfare_claim,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M4,correct_boundary,-0.35,-0.5128125000000001,-0.17500000000000004,160,160
gpt_5_6_terra,qwen3_14b,M4,missing_slot_recall,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M4,evidence_id_precision,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M4,evidence_id_recall,-0.24642857142857144,-0.3023303571428572,-0.19160714285714286,160,160
gpt_5_6_terra,qwen3_14b,M4,operational_claim_retention,0.15000000000000002,0.025000000000000022,0.275,160,160
gpt_5_6_terra,qwen3_14b,M4,over_abstention,-0.15000000000000002,-0.275,-0.037500000000000006,160,160
gpt_5_6_terra,qwen3_14b,M4,safe_utility,-0.20625000000000004,-0.28437500000000004,-0.12187499999999996,160,160
gpt_5_6_terra,qwen3_14b,M5,unsafe_causal_affirmation,0.125,-0.025000000000000022,0.2875,160,160
gpt_5_6_terra,qwen3_14b,M5,unsupported_welfare_claim,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M5,correct_boundary,-0.25,-0.42499999999999993,-0.07500000000000007,160,160
gpt_5_6_terra,qwen3_14b,M5,missing_slot_recall,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M5,evidence_id_precision,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M5,evidence_id_recall,0.24642857142857144,0.1908883928571429,0.29911160714285717,160,160
gpt_5_6_terra,qwen3_14b,M5,operational_claim_retention,-0.275,-0.38750000000000007,-0.16249999999999987,160,160
gpt_5_6_terra,qwen3_14b,M5,over_abstention,0.275,0.16249999999999998,0.3875,160,160
gpt_5_6_terra,qwen3_14b,M5,safe_utility,-0.16249999999999998,-0.25,-0.07500000000000007,160,160
gpt_5_6_terra,qwen3_14b,M6,unsafe_causal_affirmation,-0.375,-0.5125,-0.23749999999999993,160,160
gpt_5_6_terra,qwen3_14b,M6,unsupported_welfare_claim,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M6,correct_boundary,0.65,0.5,0.7875,160,160
gpt_5_6_terra,qwen3_14b,M6,missing_slot_recall,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M6,evidence_id_precision,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M6,evidence_id_recall,-0.021428571428571463,-0.08875892857142845,0.04750446428571446,160,160
gpt_5_6_terra,qwen3_14b,M6,operational_claim_retention,0.17500000000000004,0.0625,0.29999999999999993,160,160
gpt_5_6_terra,qwen3_14b,M6,over_abstention,-0.175,-0.28750000000000003,-0.0625,160,160
gpt_5_6_terra,qwen3_14b,M6,safe_utility,0.30000000000000004,0.22187500000000004,0.375,160,160
gpt_5_6_terra,qwen3_14b,M7,unsafe_causal_affirmation,0.125,-0.03749999999999998,0.275,160,160
gpt_5_6_terra,qwen3_14b,M7,unsupported_welfare_claim,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M7,correct_boundary,0.17499999999999993,1.1102230246251565e-16,0.3375,160,160
gpt_5_6_terra,qwen3_14b,M7,missing_slot_recall,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M7,evidence_id_precision,0.0,0.0,0.0,160,160
gpt_5_6_terra,qwen3_14b,M7,evidence_id_recall,-0.021428571428571463,-0.09125446428571433,0.044464285714285734,160,160
gpt_5_6_terra,qwen3_14b,M7,operational_claim_retention,-0.07499999999999996,-0.19999999999999996,0.03781249999999838,160,160
gpt_5_6_terra,qwen3_14b,M7,over_abstention,0.075,-0.03750000000000001,0.2,160,160
gpt_5_6_terra,qwen3_14b,M7,safe_utility,-0.006249999999999978,-0.09687500000000004,0.08125000000000004,160,160
