paper_object,object_type,claim,input,script,output
tab:data-scope,table,Four-chain canonical unit counts and UTC windows,reproduction/scope.json; reproduction/archived/release/*_core.json,reproduction/generate_tables.py,paper/tabs/tab_data_scope.tex
tab:claim-evidence,table,Claim-evidence-stakeholder statuses and reported estimates,reproduction/archived/application/deterministic_ladder.csv; telegram_mirror_design_summary.json; h1_rpc_mechanism_summary.json; identification/h0_summary.json; identification/h3_incidence.json,reproduction/generate_tables.py,paper/tabs/tab_claim_evidence.tex
tab:related-work,conceptual_table,Capability matrix over representative datasets,notes/related_work_evidence.md; reproduction/source_ledger.md,none (literature table with source ledger),paper/tabs/tab_related_work.tex
tab:ladder,conceptual_table,L0-L7 evidence contract definition,reproduction/source_ledger.md,none (definitional table with source ledger),paper/tabs/tab_ladder.tex
fig:data-layer-coverage,figure,Chain-specific coverage and event-design status,reproduction/scope.json; reproduction/archived/release/events_core.json,reproduction/generate_figures.py,paper/figs/fig_data_layer_coverage_map.pdf
fig:pumpswap-event-study,figure,PumpSwap event-study coefficients and pretrend flags,reproduction/archived/application/event_study_coefficients.csv,reproduction/generate_figures.py,paper/figs/fig_event_study_shilin.pdf
fig:pumpswap-decision-path,figure,Ladder path from L0 dashboard estimate to L6 few-cluster inference,reproduction/archived/application/deterministic_ladder.csv,reproduction/generate_figures.py,paper/figs/fig_ladder_decision_flip_shilin.pdf
fig:stress-test-atlas,figure,S1-S5 known-truth calibration map,reproduction/archived/calibration/s1_results_summary.csv through s5_results_summary.csv,reproduction/generate_figures.py,paper/figs/fig_stress_test_atlas.pdf
fig:application-stakeholder,figure,Stakeholder metric battery rates,reproduction/archived/application/result1_stakeholder_metric_battery.csv,reproduction/generate_figures.py,paper/figs/fig_metric_battery_status_shilin.pdf
fig:application-frequency,figure,Daily versus weekly TWFE aggregation shift,reproduction/archived/application/result1_frequency_sensitivity.csv,reproduction/generate_figures.py,paper/figs/fig_frequency_sensitivity_shilin.pdf
main-text:pumpswap-twfe,number,"TWFE 0.412, CI [-0.128, 0.951], exact p = 0.6875",reproduction/archived/application/deterministic_ladder.csv; wild_cluster_bootstrap.json,Shilin/src/trustworthy_launchpads/deterministic_ladder.py,paper/neurips_2026.tex
main-text:telegram-att,number,"Matched Telegram ATT 0.945 pp, CI [0.732, 1.163], E-value 5.02",reproduction/archived/application/telegram_mirror_design_summary.json,Shilin/scripts/run_telegram_mirror_design.py,paper/neurips_2026.tex
main-text:fee-incidence,number,"10,732 lamports; diagnostic -0.966 [-1.252, -0.680]; 7-day contrast 0.182 [-0.174, 0.538]",reproduction/archived/identification/h3_incidence.json; h0_summary.json,Claire/src/web3io_claire/analyze_h0.py; analyze_h3.py,paper/neurips_2026.tex
app:agent,evaluation,"Bounded DeepSeek deepseek-chat, 10 runs per rung, temperature 0",reproduction/archived/application/agent_runs.csv; agentic_arm_scores.csv; prompts/,Shilin/scripts/run_agentic_deepseek.py,reproduction/archived/application/
