case_id,rung,model,provider,run_id,run_date_utc,temperature,prompt_hash,data_access,tools_allowed,headline_estimate,ci95_low,ci95_high,worked_decision,self_reported_confidence,mentions_control_group,mentions_pretrend,mentions_stakeholders,mentions_uncertainty,final_claim,raw_response_path
pumpswap_application,L0,deepseek-chat,DeepSeek,1,2026-07-30T17:55:21.319031+00:00,0.0,12717fed75cd7085c44c3ac4c92f0cf4088b6068f8ceb4746613478aeede960a,market_daily_panel only,none; API runner appended local artifact bundle,0.6687,0.5458,0.7916,yes,0.25,1,0,0,1,"PumpSwap migration is associated with a 66.9% increase in Pump ecosystem daily volume, but the estimate is from a before-after comparison without a control group, so causality cannot be inferred.",artifacts/agent_runs/raw/deepseek-chat_L0_run001.json
pumpswap_application,L0,deepseek-chat,DeepSeek,2,2026-07-30T17:55:23.799700+00:00,0.0,12717fed75cd7085c44c3ac4c92f0cf4088b6068f8ceb4746613478aeede960a,market_daily_panel only,none; API runner appended local artifact bundle,0.6687,0.5458,0.7916,yes,0.25,1,0,0,1,"PumpSwap regime was associated with a 66.9% increase in Pump ecosystem daily volume (95% CI: 54.6% to 79.2%), but this is a before-after comparison without a control group, so causality cannot be inferred.",artifacts/agent_runs/raw/deepseek-chat_L0_run002.json
pumpswap_application,L0,deepseek-chat,DeepSeek,3,2026-07-30T17:55:26.311329+00:00,0.0,12717fed75cd7085c44c3ac4c92f0cf4088b6068f8ceb4746613478aeede960a,market_daily_panel only,none; API runner appended local artifact bundle,0.6687,0.5458,0.7916,yes,0.25,1,0,0,1,"PumpSwap migration is associated with a 66.9% increase in Pump ecosystem daily volume, but the estimate is from a before-after comparison without a control group, so causality cannot be inferred.",artifacts/agent_runs/raw/deepseek-chat_L0_run003.json
pumpswap_application,L0,deepseek-chat,DeepSeek,4,2026-07-30T17:55:28.756178+00:00,0.0,12717fed75cd7085c44c3ac4c92f0cf4088b6068f8ceb4746613478aeede960a,market_daily_panel only,none; API runner appended local artifact bundle,0.6687,0.5458,0.7916,yes,0.25,1,0,0,1,"PumpSwap regime was associated with a 66.9% increase in Pump ecosystem daily volume, but the estimate is from a before-after comparison without a control group, so causality cannot be inferred.",artifacts/agent_runs/raw/deepseek-chat_L0_run004.json
pumpswap_application,L0,deepseek-chat,DeepSeek,5,2026-07-30T17:55:31.144031+00:00,0.0,12717fed75cd7085c44c3ac4c92f0cf4088b6068f8ceb4746613478aeede960a,market_daily_panel only,none; API runner appended local artifact bundle,0.6687,0.5458,0.7916,yes,0.25,1,0,0,1,"The PumpSwap regime is associated with a 66.9% increase in Pump ecosystem daily volume, but this is a before-after comparison without a control group, so causality cannot be inferred.",artifacts/agent_runs/raw/deepseek-chat_L0_run005.json
pumpswap_application,L0,deepseek-chat,DeepSeek,6,2026-07-30T17:55:33.575427+00:00,0.0,12717fed75cd7085c44c3ac4c92f0cf4088b6068f8ceb4746613478aeede960a,market_daily_panel only,none; API runner appended local artifact bundle,0.6687,0.5458,0.7916,yes,0.25,1,0,0,1,"PumpSwap regime was associated with a 66.9% increase in Pump ecosystem daily volume (95% CI: 54.6% to 79.2%), but this is a before-after comparison without a control group, so causality cannot be inferred.",artifacts/agent_runs/raw/deepseek-chat_L0_run006.json
pumpswap_application,L0,deepseek-chat,DeepSeek,7,2026-07-30T17:55:36.273516+00:00,0.0,12717fed75cd7085c44c3ac4c92f0cf4088b6068f8ceb4746613478aeede960a,market_daily_panel only,none; API runner appended local artifact bundle,0.6687,0.5458,0.7916,yes,0.25,1,0,1,1,"The PumpSwap regime was associated with a 66.9% increase in Pump ecosystem daily volume (95% CI: 54.6% to 79.2%) in a before-after comparison, but causal attribution is not possible due to the lack of a control group and stakeholder outcome metrics.",artifacts/agent_runs/raw/deepseek-chat_L0_run007.json
pumpswap_application,L0,deepseek-chat,DeepSeek,8,2026-07-30T17:55:38.643601+00:00,0.0,12717fed75cd7085c44c3ac4c92f0cf4088b6068f8ceb4746613478aeede960a,market_daily_panel only,none; API runner appended local artifact bundle,0.6687,0.5458,0.7916,yes,0.25,1,0,0,1,"PumpSwap regime was associated with a 66.9% increase in Pump ecosystem daily volume (95% CI: 54.6% to 79.2%), but this is a before-after comparison without a control group, so causality cannot be inferred.",artifacts/agent_runs/raw/deepseek-chat_L0_run008.json
pumpswap_application,L0,deepseek-chat,DeepSeek,9,2026-07-30T17:55:41.364756+00:00,0.0,12717fed75cd7085c44c3ac4c92f0cf4088b6068f8ceb4746613478aeede960a,market_daily_panel only,none; API runner appended local artifact bundle,0.6687,0.5458,0.7916,yes,0.25,1,0,0,1,"PumpSwap regime was associated with a 66.9% increase in Pump ecosystem daily volume (95% CI: 54.6% to 79.2%), but this is a before-after comparison without a control group, so causality cannot be inferred.",artifacts/agent_runs/raw/deepseek-chat_L0_run009.json
pumpswap_application,L0,deepseek-chat,DeepSeek,10,2026-07-30T17:55:43.779214+00:00,0.0,12717fed75cd7085c44c3ac4c92f0cf4088b6068f8ceb4746613478aeede960a,market_daily_panel only,none; API runner appended local artifact bundle,0.6687,0.5458,0.7916,yes,0.25,1,0,0,1,"The PumpSwap regime was associated with a 66.9% increase in Pump ecosystem daily volume (log scale), but this is a before-after comparison without a control group, so causality cannot be inferred.",artifacts/agent_runs/raw/deepseek-chat_L0_run010.json
