rung,ablation_id,ablation_family,removed_scaffold,rung_data_access,registered_scaffold,ablation_description,claim_boundary
L0,baseline,baseline,,market_daily_panel only,No control-group instruction; ask for before-after conclusion.,Registered L0-L7 prompt and artifact bundle.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L0,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,market_daily_panel only,No control-group instruction; ask for before-after conclusion.,Remove explicit pretrend/event-study diagnostic scaffolding where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L0,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,market_daily_panel only,No control-group instruction; ask for before-after conclusion.,"Remove explicit confidence-interval, p-value, and bootstrap guardrail language where present.",Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L0,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,market_daily_panel only,No control-group instruction; ask for before-after conclusion.,Remove stakeholder and retail-risk scaffold evidence where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L0,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,market_daily_panel only,No control-group instruction; ask for before-after conclusion.,Remove data-gap and claim-scope reminders where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L1,baseline,baseline,,market_daily_panel with control units,Control group is disclosed; ask for naive DiD.,Registered L0-L7 prompt and artifact bundle.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L1,omit_pretrend_diagnostics,scaffold_removed,pretrend_event_study_guardrail,market_daily_panel with control units,Control group is disclosed; ask for naive DiD.,Remove explicit pretrend/event-study diagnostic scaffolding where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L1,omit_uncertainty_inference,scaffold_removed,few_cluster_uncertainty_guardrail,market_daily_panel with control units,Control group is disclosed; ask for naive DiD.,"Remove explicit confidence-interval, p-value, and bootstrap guardrail language where present.",Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L1,omit_stakeholder_battery,scaffold_removed,stakeholder_specific_metric_battery,market_daily_panel with control units,Control group is disclosed; ask for naive DiD.,Remove stakeholder and retail-risk scaffold evidence where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
L1,omit_data_gap_ledger,scaffold_removed,data_availability_claim_boundary,market_daily_panel with control units,Control group is disclosed; ask for naive DiD.,Remove data-gap and claim-scope reminders where present.,Registered scaffold ablation cell. It becomes empirical only after agentic_multimodel_ablation_runs.csv contains real model outputs.
