source_id,phase,chain,platform,unit,granularity,time_start_utc,time_end_utc,current_rows,current_entities,horizons,current_status,upstream_provenance,credential_class,raw_committed,primary_artifact,claim_boundary,next_action
solana_market_panel,1,Solana,Pump.fun and Solana DEX controls,protocol_day,daily,2024-12-20,2025-06-18,724,4,0,baseline_received,complete,none,false,data/external/pumpswap/20260810/bundle/01_Pumpfun_PumpSwap_Project/pumpfun_pumpswap_did_mvp_full_local/data/processed/solana_dex_daily_did_panel.csv,Aggregate market context only,Register raw DeFiLlama hashes and retain as contextual panel
red_pump_lifecycle,1,Solana,Pump.fun,token,token_lifecycle,2026-05-08,2026-06-10,832941,832941,terminal,baseline_received,complete,none,false,data/external/pumpswap/20260810/bundle/01_Pumpfun_PumpSwap_Project/pumpfun_pumpswap_did_mvp_full_local/data/processed/red_pump_token_outcomes.csv,Complete cleaned lifecycle universe for the delivered 34 day window,Freeze as Solana launch baseline and do not conflate with March 2025 market event
solana_rpc_horizons,1,Solana,Pump.fun and PumpSwap,token_horizon,fixed_horizon,2026-05-08,2026-07-10,4953,1651,1;7;30,proxy_complete,partial,public_rpc_or_existing_helius,false,application/artifacts/external_validation/solana_post_migration_pool_windows.csv,Transaction count proxy not decoded USD or active trader data,Retain for cross checks only
solana_moralis_decoded,1,Solana,Pump.fun and PumpSwap,token_horizon,fixed_horizon,2026-05-09,2026-06-11,882,294,1;7;30,validation_only_page_capped_lower_bound,complete_for_delivered_sample,none,false,data/external/pumpswap/20260810/bundle/Web3AI4IO/application/artifacts/external_validation/moralis_decoded_token_outcomes.csv,876 of 882 token horizon requests reached the page cap; retained as validation data only,Preserve the delivered decoded-swap snapshot and do not collect additional decoded swaps
solana_dune_decoded,1,Solana,Pump.fun and PumpSwap,token_horizon,fixed_horizon,2026-05-08,2026-07-10,0,0,1;7;30,closed_no_collection,query_documented,none,false,application/data_sources/dune_queries/pumpswap_post_migration_trades.sql,No completed decoded export,Retain query as documentation only; do not execute further decoded swap collection
telegram_link_presence_full,1,Solana,Pump.fun,token,launch_metadata,2026-05-08,2026-06-10,832941,832941,launch,baseline_received_binary_only,complete_for_binary_fields,none,false,data/external/pumpswap/20260810/bundle/01_Pumpfun_PumpSwap_Project/pumpfun_pumpswap_did_mvp_full_local/data/processed/red_pump_token_outcomes.csv,Static self reported link presence not attention or exposure,Retain as core metadata and collect identifiers only for event specific offchain packs
telegram_link_presence_validation,1,Solana,Pump.fun,token,launch_metadata,2026-05-08,2026-06-10,1651,1651,launch,derived_available,partial,unknown,false,application/benchmark_release/data/covariates.csv,Graduated subset only,Use only after upstream provenance is recovered
telegram_identifiers_validation,1,Solana,Pump.fun,token,launch_metadata,2026-05-08,2026-06-10,1651,1651,launch,recovered_from_git_history,complete_for_graduated_subset,none,false,identification/data_expansion/artifacts/pump_metadata_git_history.csv,301 nonempty URLs and 296 normalized handles among graduated tokens,Use normalized handles as the eligible frame for activity collection
telegram_activity,1,Off chain,Telegram,token_channel_time,time_series,,,0,0,hourly;daily,missing,missing,public_and_api_dependent,false,,No activity data collected,Define identifiers privacy policy and bounded public collection
base_clanker_token_created,1,Base,Clanker,token_creation_log,event_log,2025-08-18,2025-09-06,36798,36798,event,committed_bounded,documented,public_rpc,true,application/artifacts/external_validation/clanker_base_token_created.csv,Committed scan contains six observed v4.1 launches,Verify against current public RPC and source contracts
base_clanker_bounded_horizons,1,Base,Clanker,token_horizon,fixed_horizon,2025-08-26,2025-08-31,36,12,1;7;30,bounded_partial,documented,public_rpc,true,application/artifacts/external_validation/clanker_base_token_horizons.csv,Sparse imported logs make horizons incomplete,Retain as smoke test only
base_clanker_full_manifest,1,Base,Clanker,token_horizon,fixed_horizon,2025-08-26,2025-10-01,41640,13880,1;7;30,manifest_only,partial,archive_or_indexer,false,application/benchmark_release/data/clanker_base_full_cohort_expected_horizons.csv,Expected rows are not outcome evidence,Estimate archive coverage and cost before bulk collection
base_public_rpc_control_pilot,1,Base,Clanker,token_horizon,fixed_horizon,2025-08-23,2025-08-24,72,24,1,public_rpc_pilot_complete,documented,public_rpc,false,identification/data_expansion/artifacts/base_pilot_summary.json,24 controls have Transfer coverage and zero observed Swap rows,Retain as collection feasibility evidence
base_public_rpc_treated_pilot,1,Base,Clanker,token_horizon,fixed_horizon,2025-08-26,2025-08-31,74,6,1,public_rpc_pilot_complete,documented,public_rpc,false,identification/data_expansion/artifacts/base_pilot_treated_summary.json,Six treated tokens have 20 Swap and 54 Transfer rows,Scale resumably after reviewing zero Swap units
four_meme_bnb,2,BNB Chain,Four.meme,unknown,unknown,,,0,0,1;7;30,not_started,missing,unknown,false,,No verified event or panel,Start after Phase 1 closes
sunpump_tron,2,TRON,SunPump,unknown,unknown,,,0,0,1;7;30,not_started,missing,unknown,false,,No verified event or panel,Start after Phase 1 closes
